Actor,Rating,Title,Credit,Box Office,Year
Nicolas Cage,15%,Rage,Paul Maguire,--,2014
Nicolas Cage,86%,Joe,Joe,$0.4M,2014
Nicolas Cage,59%,The Frozen Ground,Sgt. Jack Halcombe,--,2013
Nicolas Cage,70%,The Croods,Grug,$187.2M,2013
Nicolas Cage,16%,Stolen,Will Montgomery,$0.3M,2012
Nicolas Cage,18%,Ghost Rider: Spirit of Vengeance,Johnny Blaze/Ghost Rider,$51.8M,2012
Nicolas Cage,27%,Seeking Justice,Will Gerard,$0.4M,2012
Nicolas Cage,10%,Season of the Witch,Behmen,$24.8M,2011
Nicolas Cage,45%,Drive Angry,Milton,$10.7M,2011
Nicolas Cage,10%,Trespass,Kyle Miller,$16.8k,2011
Nicolas Cage,41%,The Sorcerer's Apprentice,Balthazar Blake,$63.1M,2010
Nicolas Cage,76%,Kick-Ass,Damon Macready/Big Daddy,$20.0M,2010
Nicolas Cage,87%,Bad Lieutenant: Port of Call New Orleans,Terence McDonagh,$1.6M,2009
Nicolas Cage,49%,Astro Boy (AstroBoy),Dr. Tenma,$19.5M,2009
Nicolas Cage,22%,G-Force,Speckles,$119.4M,2009
Nicolas Cage,33%,Knowing,John Koestler,$79.9M,2009
Nicolas Cage,9%,Bangkok Dangerous,JoeProducer,$15.2M,2008
Nicolas Cage,35%,National Treasure: Book of Secrets,Ben Gates,$219.9M,2007
Nicolas Cage,28%,Next,ProducerCris Johnson,$18.0M,2007
Nicolas Cage,26%,Ghost Rider,Johnny Blaze/Ghost Rider,$115.8M,2007
Nicolas Cage,63%,The Ant Bully,Zoc,$28.1M,2006
Nicolas Cage,15%,The Wicker Man,Edward MalusProducer,$23.6M,2006
Nicolas Cage,68%,World Trade Center,John McLoughlin,$70.2M,2006
Nicolas Cage,61%,Lord of War,Yuri OrlovProducer,$24.0M,2005
Nicolas Cage,58%,The Weather Man,Dave Spritz,$12.5M,2005
Nicolas Cage,44%,National Treasure,Benjamin Franklin Gates,$173.0M,2004
Nicolas Cage,19%,The Life of David Gale,Producer,$19.6M,2003
Nicolas Cage,82%,Matchstick Men,Roy Waller,$36.9M,2003
Nicolas Cage,23%,Sonny,DirectorActor,--,2002
Nicolas Cage,91%,Adaptation,Charlie Kaufman,$22.2M,2002
Nicolas Cage,32%,Windtalkers,Joe Enders,$40.5M,2002
Nicolas Cage,20%,Christmas Carol - The Movie,Actor,--,2001
Nicolas Cage,29%,Captain Corelli's Mandolin,Capt. Antonio Corelli,$25.3M,2001
Nicolas Cage,81%,Shadow of the Vampire,Producer,$7.5M,2000
Nicolas Cage,53%,The Family Man,Jack Campbell,$73.7M,2000
Nicolas Cage,24%,Gone in 60 Seconds (Gone in Sixty Seconds),"Randall ""Memphis"" Raines",$101.0M,2000
Nicolas Cage,23%,8MM,Tom Welles,--,1999
Nicolas Cage,71%,Bringing Out the Dead,Frank Pierce,--,1999
Nicolas Cage,58%,City of Angels,Seth,--,1998
Nicolas Cage,40%,Snake Eyes,Rick Santoro,--,1998
Nicolas Cage,91%,Face/Off,Castor Troy,--,1997
Nicolas Cage,55%,Con Air,Cameron Poe,--,1997
Nicolas Cage,66%,The Rock,Stanley Goodspeed,--,1996
Nicolas Cage,89%,Leaving Las Vegas,Ben Sanderson,--,1995
Nicolas Cage,68%,Kiss of Death,Little Junior Brown,--,1995
Nicolas Cage,71%,It Could Happen to You,Charlie Lang,--,1994
Nicolas Cage,59%,Guarding Tess,Doug Chesnic,--,1994
Nicolas Cage,10%,Trapped in Paradise,Bill Firpo,--,1994
Nicolas Cage,0%,Deadfall,Eddie,--,1993
Nicolas Cage,21%,Amos & Andrew,Amos Odell,--,1993
Nicolas Cage,95%,Red Rock West,Michael,--,1993
Nicolas Cage,62%,Honeymoon in Vegas,Detective Jack Singer,--,1992
Nicolas Cage,33%,Zandalee,Johnny Collins,--,1991
Nicolas Cage,64%,Wild At Heart,Sailor Ripley,--,1990
Nicolas Cage,10%,Fire Birds,Jake Preston,--,1990
Nicolas Cage,62%,Vampire's Kiss,Peter Loew,--,1989
Nicolas Cage,90%,Raising Arizona,H.I. McDonnough,--,1987
Nicolas Cage,92%,Moonstruck,Ronny Cammareri,--,1987
Nicolas Cage,85%,Peggy Sue Got Married,Charlie Bodell,--,1986
Nicolas Cage,60%,Racing With the Moon,Nicky,--,1984
Nicolas Cage,75%,The Cotton Club,Vincent Dwyer,--,1984
Nicolas Cage,88%,Birdy,Al Columbato,--,1984
Nicolas Cage,71%,Rumble Fish,Smokey,--,1983
Nicolas Cage,83%,Valley Girl,Randy,--,1983
Nicolas Cage,79%,Fast Times At Ridgemont High,Bit Part,--,1982
Matthew McConaughey,93%,Dallas Buyers Club,Ron Woodroof,$27.3M,2013
Matthew McConaughey,98%,Mud,Mud,$21.6M,2013
Matthew McConaughey,73%,Lee Daniels' The Butler,John F. Kennedy,$116.6M,2013
Matthew McConaughey,77%,The Wolf of Wall Street,Mark Hanna,$116.9M,2013
Matthew McConaughey,78%,Killer Joe,"""Killer"" Joe Cooper",$0.9M,2012
Matthew McConaughey,90%,Bernie,Danny Buck,$9.2M,2012
Matthew McConaughey,43%,The Paperboy,Ward Jansen,$0.7M,2012
Matthew McConaughey,80%,Magic Mike,Dallas,$113.7M,2012
Matthew McConaughey,83%,The Lincoln Lawyer,Mickey Haller,$58.0M,2011
Matthew McConaughey,26%,The Ghosts of Girlfriends Past,Connor Mead,$55.2M,2009
Matthew McConaughey,11%,Fool's Gold,"Ben ""Finn"" Finnegan",$70.2M,2008
Matthew McConaughey,0%,"Surfer, Dude",Steve Addington,--,2008
Matthew McConaughey,83%,Tropic Thunder,Rick Peck,$110.4M,2008
Matthew McConaughey,24%,Failure to Launch,Tripp,$88.7M,2006
Matthew McConaughey,49%,We Are Marshall,Jack Lengyel,$43.5M,2006
Matthew McConaughey,39%,Sahara,ProducerDirk Pitt,$68.6M,2005
Matthew McConaughey,22%,Two For the Money,Brandon Lang/John Anthony,$22.9M,2005
Matthew McConaughey,88%,Magnificent Desolation: Walking on the Moon 3D,Actor,$32.5M,2005
Matthew McConaughey,29%,Tiptoes,Steven,--,2004
Matthew McConaughey,42%,How to Lose a Guy in 10 Days,Benjamin Barry,$105.8M,2003
Matthew McConaughey,73%,Frailty,Fenton Meiks,$13.1M,2002
Matthew McConaughey,40%,Reign of Fire,Denton Van Zan,$42.9M,2002
Matthew McConaughey,17%,The Wedding Planner,Steve Edison,$59.9M,2001
Matthew McConaughey,82%,13 Conversations About One Thing,Troy,$3.0M,2001
Matthew McConaughey,68%,U-571,Lt. Andrew Tyler,--,2000
Matthew McConaughey,64%,EdTV,Ed Pekurny,--,1999
Matthew McConaughey,62%,The Newton Boys,Willis Newton,--,1998
